,Site,Cert,Link
134,https://www.linkedin.com/,CMMC,https://www.linkedin.com/in/buddy-dees-4b461391
135,https://www.linkedin.com/,CMMC,https://www.linkedin.com/pulse/cmmc-opinion-scoping-security-protection-assets-spa-jeff-baldwin
136,https://www.linkedin.com/,CMMC,https://www.linkedin.com/pulse/itar-cmmc-compliance-combined-use-case-matt-henson?trk=read_related_article-card_title
137,https://www.linkedin.com/,CMMC,https://www.linkedin.com/pulse/cmmc-reciprocity-vs-inheritance-tom-cornelius
138,https://www.linkedin.com/,CMMC,https://www.linkedin.com/jobs/cmmc-jobs
139,https://www.linkedin.com/,CMMC,https://www.linkedin.com/pulse/should-endpoint-accesses-vdi-scope-cmmcl-jeff
140,https://www.forbes.com/,CDP,https://www.forbes.com/sites/feliciajackson/2022/01/19/as-finks-ceo-letter-calls-for-tcfd-disclosure-cdp-enables-investor-pressure-for-corporate-transparency/
141,https://www.forbes.com/,CDP,https://www.forbes.com/sites/danielnewman/2021/05/24/why-you-need-a-customer-data-platform-for-first-party-data/
142,https://www.forbes.com/,CDP,https://www.forbes.com/sites/forbescommunicationscouncil/2021/04/16/whats-next-for-the-customer-data-platform-cdp-in-2021/
143,https://www.forbes.com/,CDP,https://www.forbes.com/sites/sap/2021/04/14/what-is-a-cdp-definition-benefits-and-e-commerce-value-execs-must-know/
144,https://www.forbes.com/,CDP,https://www.forbes.com/sites/forbesbusinesscouncil/2022/03/23/why-do-companies-need-climate-transition-plans/
145,https://www.forbes.com/,CDP,https://www.forbes.com/sites/feliciajackson/2022/02/10/cdp-warns-supply-chain-action-lags-despite-55-trillion-in-purchasing-power-aligned-with-climate-goals/
146,https://www.forbes.com/,CDP,https://www.forbes.com/sites/patrickmoorhead/2022/08/29/clouderas-new-cdp-one-removing-obstacles-to-adopt-industrial-grade-analytics-and-ml/
147,https://www.forbes.com/,CDP,https://www.forbes.com/sites/frankvangansbeke/2021/09/24/cdp-environmental-disclosure-platform-probing-the-e-in-esg/
148,https://www.forbes.com/,CDP,https://www.forbes.com/sites/danielnewman/2020/06/29/what-it-leaders-need-to-know-about-cdp-adoption/
149,https://www.forbes.com/,CDP,https://www.forbes.com/sites/forbescommunicationscouncil/2018/05/16/make-the-most-of-your-customer-data-with-cdp/
150,https://www.forbes.com/,CIS,https://www.forbes.com/sites/dawnstaceyennis/2020/08/08/william-shatner-tangles-with-trans-twitter-over-the-word-cisgender/
151,https://www.forbes.com/,CIS,https://www.forbes.com/sites/roberthart/2021/09/02/transgender-people-twice-as-likely-to-die-as-cisgender-people-study-finds/
